mul_name,single-sided,zero-error,mue_ED0,var_ED0,mue_ED,NMED,var_ED,mue_RED,var_RED,mue_ARED,var_ARED,RMS_ED,RMS_RED,ER,WCE,WCRE
mul8_078,NO,NO,92.03125,12130.186523,104.07489,0.001601,9768.354743,0.03031,0.010906,0.03031,0.010906,143.526783,0.108739,0.962952,582.0,5.0
mul8_079,NO,NO,57.553711,17489.587935,113.162354,0.00174,7996.299325,128326.448991,6476147068582.801,128326.448991,6476147068582.801,144.229046,2548060.977703,0.9758,593.0,70000000.0
mul8_080,NO,NO,69.25,23394.390625,81.430328,0.001252,21559.054747,9765.646372,97560882150.91605,9765.646372,97560882150.91605,167.898639,312500.0,0.6604,577.0,10000000.0
mul8_081,NO,NO,4.898438,710090.78656,603.606842,0.009283,345773.561491,0.089788,0.02642,0.089788,0.02642,842.683085,0.185695,0.990982,3043.0,3.0
mul8_082,NO,NO,137.546875,20446.544678,147.131226,0.002263,17718.089958,0.036482,0.013678,0.036482,0.013678,198.407882,0.122511,0.9711,904.0,8.0
mul8_083,NO,NO,9.75,171.4375,11.84375,0.000182,126.225586,0.005074,0.001056,0.005074,0.001056,16.324828,0.032896,0.742188,50.0,1.0
mul8_084,NO,NO,57.643555,13767.542869,96.0755,0.001478,7859.820472,0.029549,0.009563,0.029549,0.009563,130.729959,0.102158,0.97229,766.0,2.0
mul8_085,NO,NO,71.649414,22913.815078,132.756866,0.002042,10423.068022,0.038882,0.01631,0.038882,0.01631,167.47374,0.133499,0.978867,668.0,2.8125
mul8_086,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mul8_087,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mul8_088,NO,NO,55.085938,633848.680115,576.216736,0.008861,304857.413963,0.081118,0.020776,0.081118,0.020776,798.049585,0.165397,0.990707,2898.0,3.125
mul8_089,NO,NO,42.992188,644280.012634,579.892029,0.008918,309853.575745,0.083112,0.022244,0.083112,0.022244,803.821088,0.170738,0.991302,2887.0,3.0
mul8_090,NO,NO,43.695313,642541.079041,578.87674,0.008902,309352.079839,0.082395,0.021426,0.082395,0.021426,802.776656,0.167973,0.99054,2898.0,3.0
mul8_091,NO,NO,4.53125,70.717773,4.695313,7.2e-05,69.204041,0.001698,0.000181,0.001698,0.000181,9.552487,0.013542,0.444824,40.0,1.0
mul8_092,NO,NO,16.203125,968.411865,23.482422,0.000361,679.528988,0.008462,0.001956,0.008462,0.001956,35.084942,0.045032,0.905518,226.0,1.0
mul8_093,NO,NO,6.490234,225.783108,9.023926,0.000139,186.475013,0.003298,0.000575,0.003298,0.000575,16.367842,0.024208,0.583801,72.0,1.882353
mul8_094,NO,NO,44.125,5311.484375,58.756714,0.000904,3806.148576,0.017934,0.005955,0.017934,0.005955,85.196831,0.079225,0.935059,452.0,7.0
mul8_095,NO,NO,45.289063,642256.428162,579.423737,0.008911,308575.66084,0.082512,0.021445,0.082512,0.021445,802.68769,0.168085,0.99054,2886.0,3.0
mul8_096,NO,NO,150.210938,657335.248474,624.46875,0.009604,289937.354492,0.099976,0.033447,0.099976,0.033447,824.559624,0.208427,0.989838,2911.0,7.0
mul8_097,NO,NO,37.78125,726817.928711,619.331604,0.009525,344673.715844,0.094334,0.02896,0.094334,0.02896,853.372926,0.194574,0.991028,3043.0,3.0
mul8_098,NO,NO,4.125,28.484375,4.609375,7.1e-05,24.253662,0.002179,0.000419,0.002179,0.000419,6.745369,0.020595,0.568359,20.0,2.0
mul8_099,NO,NO,140.937714,41913.149441,193.839508,0.002981,24202.833678,0.058976,0.02478,0.058976,0.02478,248.548966,0.1681,0.987671,1081.0,1.5
mul8_100,NO,NO,202.869629,674543.506442,645.654053,0.009929,298830.436961,0.098407,0.029511,0.098407,0.029511,845.990303,0.197978,0.990387,3143.0,6.0625
