mul_name,untrained_acc,net,dataset,concat,classify,single-sided,zero-error,mue_ED0,var_ED0,mue_ED,NMED,var_ED,mue_RED,var_RED,mue_ARED,var_ARED,RMS_ED,RMS_RED,ER,WCE,WCRE
ReFAM_new2_sta1_j2_k4,0.031700000166893005,resnet34,cifar100,resnet34cifar100,2,NO,NO,12.0,1378.0,22.703125,0.000349,1006.568115,0.008633,0.004817,0.008633,0.004817,39.012818,0.069942,0.535156,124.0,2.0
mul8_011,0.10939999669790268,resnet18,mnist,resnet18mnist,2,NO,NO,45.544922,84058.0,579.740967,0.008916,89872.0,0.083011,0.022237,0.083011,0.022237,803.299959,0.170669,0.991043,2887.0,3.0
mul8_229,0.1371999979019165,vgg16,mnist,vgg16mnist,2,NO,NO,89.960938,84058.0,590.037292,0.009074,89872.0,0.085769,0.023367,0.085769,0.023367,809.901308,0.175281,0.990677,2886.0,3.0
mul8_326,0.10849999636411667,resnet18,mnist,resnet18mnist,2,NO,NO,43.476563,84058.0,579.985413,0.008919,89872.0,0.083101,0.022211,0.083101,0.022211,803.841148,0.170636,0.990784,2886.0,3.0
ReFAM_new_sta1_j1_k8,0.11349999904632568,resnet18,mnist,resnet18mnist,2,NO,NO,55.4375,20001.683594,74.03418,0.001139,17593.940238,0.008124,0.000765,0.008124,0.000765,151.904575,0.028834,0.437988,762.0,0.426891
mul8_218,0.010599999688565731,resnet34,cifar100,resnet34cifar100,2,NO,NO,22.625,2469.109375,26.618164,0.000409,2272.473342,0.010116,0.002637,0.010116,0.002637,54.598535,0.052338,0.636475,296.0,1.0
mul8_069,0.11219999939203262,resnet18,mnist,resnet18mnist,2,NO,NO,224.189453,81146.321529,270.83136,0.004165,58057.606937,0.062912,0.037955,0.062912,0.037955,362.501355,0.204728,0.982193,1648.0,6.0
mul8_408,0.09719999879598618,resnet18,cifar,resnet18cifar,2,NO,NO,56.398438,84058.0,575.824554,0.008855,89872.0,0.08124,0.021102,0.08124,0.021102,797.194529,0.16644,0.990601,2882.0,3.0
ReFAM_sta1_j7_k3_const0,0.10639999806880951,resnet34,cifar,resnet34cifar,2,YES,NO,720.0,84058.0,720.0,0.011073,89872.0,0.093191,0.025017,0.093191,0.025017,900.844049,0.183581,0.897461,2880.0,1.0
mul8_296,0.10490000247955322,resnet18,cifar,resnet18cifar,2,NO,NO,21.695313,84058.0,316.411377,0.004866,73288.711628,0.061536,0.016864,0.061536,0.016864,416.419105,0.143703,0.971054,1335.0,4.0
ReFAM_sta2_j4_k5_const1,0.09950000047683716,resnet18,cifar,resnet18cifar,2,NO,YES,62.5,76587.75,228.157715,0.003509,28438.057157,10000.0,20000.0,10000.0,20000.0,283.714645,10000.0,0.988495,952.0,5040000000.0
mul8_456,0.10000000149011612,vgg16,cifar,vgg16cifar,2,NO,NO,136.061279,19729.929106,151.444733,0.002329,15307.093778,0.037783,0.013471,0.037783,0.013471,195.557155,0.122061,0.977921,904.0,3.5625
mul8_161,0.10450000315904617,resnet34,mnist,resnet34mnist,2,NO,NO,47.726563,84058.0,580.506592,0.008927,89872.0,0.083236,0.022167,0.083236,0.022167,803.265618,0.170572,0.99054,2886.0,3.0
ReFAM_sta3_j3_k2_const0,0.1168999969959259,resnet34,mnist,resnet34mnist,2,YES,NO,19.0,158.0,19.0,0.000292,158.0,0.00886,0.002282,0.00886,0.002282,22.781571,0.048584,0.876953,64.0,1.0
mul8_053,0.09380000084638596,resnet34,mnist,resnet34mnist,2,NO,NO,32.359375,84058.0,325.854584,0.005011,86341.43088,0.063463,0.018978,0.063463,0.018978,438.77402,0.151674,0.96843,1257.0,8.0
ReFAM_sta1_j2_k3_const0,0.11569999903440475,resnet18,mnist,resnet18mnist,2,YES,NO,22.0,340.5,22.0,0.000338,340.5,0.008755,0.002003,0.008755,0.002003,28.714108,0.045607,0.824219,88.0,1.0
mul8_448,0.11079999804496765,resnet34,cifar,resnet34cifar,2,NO,NO,47.960938,84058.0,580.593597,0.008929,89872.0,0.083289,0.022237,0.083289,0.022237,803.310108,0.170805,0.990662,2886.0,3.0
mul8_414,0.9861999750137329,resnet34,mnist,resnet34mnist,0,NO,NO,3.25,25.4375,3.75,5.8e-05,21.9375,0.001681,0.000239,0.001681,0.000239,6.0,0.01556,0.421875,16.0,1.0
mul8_410,0.11349999904632568,resnet34,mnist,resnet34mnist,2,NO,NO,175.324219,24138.129257,186.89563,0.002874,19946.734468,0.045631,0.015441,0.045631,0.015441,234.257787,0.132375,0.978439,920.0,1.0
ReFAM_new1_sta4_j3_k4,0.10000000149011612,resnet34,cifar,resnet34cifar,2,NO,YES,1000.0,84058.0,1092.0,0.5,89872.0,10000.0,20000.0,10000.0,20000.0,3000.0,10000.0,0.999969,5000.0,655340000000.0
ReFAM_sta4_j4_k6_const0,0.10000000149011612,resnet18,cifar,resnet18cifar,2,YES,NO,824.75,84058.0,824.75,0.012684,89872.0,0.180315,0.075869,0.180315,0.075869,911.333089,0.329215,0.98999,2560.0,1.0
mul8_268,0.09489999711513519,resnet18,mnist,resnet18mnist,2,NO,NO,36.652344,84058.0,387.211182,0.005955,89872.0,0.048817,0.014795,0.048817,0.014795,726.452117,0.131065,0.824265,2292.0,1.333333
ReFAM_new2_sta4_j3_k6,0.10000000149011612,resnet18,cifar,resnet18cifar,2,NO,NO,1000.0,84058.0,1092.0,0.227566,89872.0,1.106934,0.569503,1.106934,0.569503,3000.0,1.339704,0.992203,5000.0,2.0
ReFAM_sta2_j5_k1_const0,0.11349999904632568,resnet18,mnist,resnet18mnist,2,YES,NO,41.0,683.0,41.0,0.000631,683.0,0.014988,0.003436,0.014988,0.003436,48.620983,0.060506,0.869141,96.0,1.0
mul8_055,0.9891999959945679,vgg16,mnist,vgg16mnist,0,YES,NO,4.609375,69.441162,4.609375,7.1e-05,69.441162,0.001638,0.000177,0.001638,0.000177,9.522998,0.013418,0.422852,40.0,1.0
ReFAM_sta1_j3_k7_const1,0.10000000149011612,resnet34,cifar,resnet34cifar,2,NO,YES,255.0,84058.0,519.003906,0.007982,89872.0,10000.0,20000.0,10000.0,20000.0,615.1829,10000.0,0.997559,2040.0,10200000000.0
mul8_286,0.14010000228881836,vgg16,cifar,vgg16cifar,2,NO,NO,33.5,1764.25,42.244141,0.00065,1101.932583,10000.0,20000.0,10000.0,20000.0,53.726158,10000.0,0.958862,205.0,10000000.0
ReFAM_sta3_j6_k4_const0,0.10100000351667404,vgg16,mnist,vgg16mnist,2,YES,NO,1000.0,84058.0,1072.3125,0.016491,89872.0,0.202148,0.074906,0.202148,0.074906,1183.073962,0.34025,0.988037,2912.0,1.0
ReFAM_new2_sta2_j6_k3,0.10100000351667404,resnet34,cifar,resnet34cifar,2,NO,NO,110.25,84058.0,216.394531,0.003328,57029.406845,0.06831,0.056267,0.06831,0.056267,322.26697,0.246847,0.66449,960.0,2.0
mul8_373,0.11349999904632568,resnet18,mnist,resnet18mnist,2,NO,NO,148.605957,23982.476566,166.351074,0.002558,18393.527138,0.041643,0.014717,0.041643,0.014717,214.630396,0.128262,0.977615,877.0,1.651685
ReFAM_new2_sta2_j7_k2,0.10459999740123749,resnet34,mnist,resnet34mnist,2,NO,NO,94.5,84058.0,204.492188,0.003145,56870.945251,0.06159,0.047378,0.06159,0.047378,314.146463,0.22621,0.563782,896.0,2.0
ReFAM_new1_sta3_j4_k3,0.09799999743700027,vgg16,mnist,vgg16mnist,2,NO,YES,75.75,5011.9375,77.585938,0.001193,4730.422302,10000.0,20000.0,10000.0,20000.0,103.682207,10000.0,0.842407,240.0,2400000000.0
mul8_243,0.1274999976158142,vgg16,mnist,vgg16mnist,2,NO,NO,130.1875,38482.558594,184.146149,0.002832,21521.539676,0.050505,0.019394,0.050505,0.019394,235.43862,0.148137,0.976852,1055.0,1.03125
mul8_385,0.10869999974966049,resnet18,cifar,resnet18cifar,2,NO,NO,107.359375,43580.886475,180.986664,0.002783,22350.749395,0.050353,0.019249,0.050353,0.019249,234.748636,0.147595,0.983582,1066.0,3.0
ReFAM_new_sta3_j6_k1,0.3734999895095825,resnet34,cifar100,resnet34cifar100,2,NO,NO,4.015625,877.374756,16.773438,0.000258,612.151794,0.00413,0.000414,0.00413,0.000414,29.89147,0.020763,0.350708,96.0,0.444444
mul8_263,0.7077000141143799,vgg16,cifar,vgg16cifar,0,NO,NO,1.0,15.0,2.0,3.1e-05,12.0,0.000879,9.4e-05,0.000879,9.4e-05,4.0,0.009723,0.25,8.0,1.0
ReFAM_new2_sta2_j1_k2,0.7059000134468079,vgg16,cifar,vgg16cifar,0,YES,NO,5.5,22.75,5.5,8.5e-05,22.75,0.003418,0.001407,0.003418,0.001407,7.28011,0.037667,0.6875,14.0,2.0
ReFAM_sta3_j3_k1_const0,0.8435999751091003,resnet34,mnist,resnet34mnist,2,YES,NO,7.0,30.0,7.0,0.000108,30.0,0.003665,0.000744,0.003665,0.000744,8.888194,0.027516,0.757813,24.0,1.0
mul8_247,0.6832000017166138,vgg16,mnist,vgg16mnist,2,NO,NO,229.169922,71994.777767,262.840424,0.004042,55428.54259,9765.682438,20000.0,9765.682438,20000.0,352.86489,10000.0,0.982391,1648.0,40000000.0
ReFAM_sta3_j1_k1_const1,0.9882000088691711,vgg16,mnist,vgg16mnist,0,YES,YES,2.0,1.25,2.0,3.1e-05,1.25,10000.0,20000.0,10000.0,20000.0,2.291288,10000.0,0.875,3.0,30000000.0
ReFAM_new1_sta4_j3_k1,0.10100000351667404,vgg16,mnist,vgg16mnist,2,NO,YES,1000.0,84058.0,1092.0,0.5,89872.0,10000.0,20000.0,10000.0,20000.0,3000.0,10000.0,0.999969,5000.0,655340000000.0
ReFAM_new1_sta2_j1_k3,0.20659999549388885,resnet18,cifar,resnet18cifar,2,YES,YES,15.25,99.4375,15.25,0.000235,99.4375,10000.0,20000.0,10000.0,20000.0,18.220867,10000.0,0.953125,30.0,300000000.0
ReFAM_new2_sta1_j4_k3,0.11089999973773956,resnet18,mnist,resnet18mnist,2,NO,NO,22.5,5373.75,44.125,0.000679,3932.984375,0.012975,0.008004,0.012975,0.008004,76.681158,0.090399,0.488281,240.0,2.0
mul8_307,0.4706999957561493,vgg16,cifar,vgg16cifar,2,NO,NO,14.746094,414.50975,19.010437,0.000292,270.560316,0.008132,0.00413,0.008132,0.00413,25.138756,0.064775,0.893585,115.0,7.0
mul8_313,0.09799999743700027,resnet18,cifar,resnet18cifar,2,NO,NO,150.210938,84058.0,624.46875,0.009604,89872.0,0.099976,0.033447,0.099976,0.033447,824.559624,0.208427,0.989838,2911.0,7.0
mul8_332,0.11349999904632568,resnet18,mnist,resnet18mnist,2,NO,NO,153.784668,24649.013202,169.68161,0.002609,19506.888496,10000.0,20000.0,10000.0,20000.0,219.769737,10000.0,0.978546,1032.0,40000000.0
mul8_096,0.10100000351667404,vgg16,mnist,vgg16mnist,2,NO,NO,150.210938,84058.0,624.46875,0.009604,89872.0,0.099976,0.033447,0.099976,0.033447,824.559624,0.208427,0.989838,2911.0,7.0
