mul_name,retrained_acc,net,dataset,concat
ReFAM_sta1_j1_k8_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j7_k2_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j2_k7_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j7_k1_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j3_k3_const0,0.730400025844574,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j7_k2_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j6_k3_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j5_k1_const1,0.7572000026702881,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j5_k3_const0,0.6789000034332275,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j5_k1_const0,0.7527999877929688,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j1_k9_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j1_k1_const1,0.7583000063896179,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j1_k2_const0,0.7450000047683716,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j1_k8_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j1_k4_const1,0.7572000026702881,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j7_k3_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j8_k2_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j3_k4_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j4_k2_const1,0.7549999952316284,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j6_k3_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j1_k7_const0,0.6991000175476074,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j3_k6_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k4_const0,0.7512000203132629,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j7_k1_const0,0.2459000051021576,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k4_const1,0.7508000135421753,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k9_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j2_k4_const0,0.4690999984741211,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j6_k3_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j5_k2_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j4_k6_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k1_const0,0.746999979019165,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j2_k3_const1,0.7588000297546387,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j5_k1_const0,0.5013999938964844,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j3_k4_const0,0.25540000200271606,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j5_k4_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j2_k8_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j3_k2_const0,0.7674000263214111,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j1_k4_const0,0.753600001335144,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j1_k5_const0,0.7426999807357788,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j4_k3_const0,0.7379000186920166,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j5_k2_const0,0.2540000081062317,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j2_k4_const0,0.49880000948905945,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j8_k2_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j3_k6_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j7_k2_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j6_k1_const1,0.7129999995231628,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j6_k1_const0,0.3098999857902527,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j1_k5_const1,0.7354000210762024,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j2_k4_const0,0.45719999074935913,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j7_k1_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j3_k2_const0,0.7549999952316284,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j2_k4_const1,0.7376000285148621,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j4_k4_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j4_k6_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j2_k6_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j4_k4_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j2_k3_const0,0.7494000196456909,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j2_k1_const0,0.7605000138282776,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j2_k5_const0,0.2556999921798706,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j4_k5_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j5_k3_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j4_k5_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j8_k2_const1,0.09960000216960907,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j3_k2_const1,0.7595000267028809,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j4_k4_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j7_k2_const0,0.34470000863075256,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j4_k1_const1,0.7493000030517578,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k3_const1,0.7583000063896179,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j6_k2_const1,0.10010000318288803,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j6_k4_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j1_k6_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j2_k4_const0,0.7423999905586243,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j7_k1_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j4_k4_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
