,Unnamed: 0,mul_name,retrained_acc,untrained_acc,net,dataset,concat,classify,single-sided,zero-error,mue_ED0,var_ED0,mue_ED,NMED,var_ED,mue_RED,var_RED,mue_ARED,var_ARED,RMS_ED,RMS_RED,ER,WCE,WCRE
4372,4372,ReFAM_sta4_j2_k3_const0,-1.0,0.9869999885559082,vgg16,mnist,vgg16mnist,0,YES,NO,0.1074588870444245,0.0012769724607036,0.0571926865741297,0.0571017274472168,0.0016803035778155,0.0072642090675686,0.0040315854350196,0.0072642090675686,0.0040315854350196,0.0499501478216588,0.0362654735672954,0.9028088594939004,0.029673590504451,0.1428571428571428
4373,4373,mul8_355,-1.0,0.1134999990463256,resnet18,mnist,resnet18mnist,2,NO,NO,1.0,1.0,1.0,1.0,1.0,0.0634093812277877,0.0425757195308892,0.0634093812277877,0.0425757195308892,1.0,0.127492341591874,1.0,1.0,0.2857142857142857
4374,4374,mul8_113,-1.0,0.0105999996885657,resnet34,cifar100,resnet34cifar100,2,NO,NO,0.3884010513472464,1.0,1.0,1.0,1.0,0.0734271419976258,0.0373624019539844,0.0734271419976258,0.0373624019539844,1.0,0.1246439512011608,1.0,1.0,0.4464285714285714
4375,4375,mul8_262,-1.0,0.1000000014901161,resnet18,cifar,resnet18cifar,2,NO,NO,0.1228914599170967,0.0123436066670063,0.0876758461100811,0.0875719769673704,0.012045503072298,0.0075099328415244,0.0030570514992897,0.0075099328415244,0.0030570514992897,0.0969695404759005,0.0317600007165762,0.9221974021002304,0.1446587537091988,0.1428571428571428
4376,4376,ReFAM_sta2_j1_k8_const1,-1.0,0.0992999970912933,resnet34,cifar,resnet34cifar,2,NO,YES,0.4038374303443695,0.9791823236440528,0.8415388800015965,0.8414107485604607,0.4734934563842817,1.0,1.0,1.0,1.0,0.766903376887966,1.0,1.0,0.7054896142433235,1.0
4377,4377,ReFAM_sta1_j7_k2_const0,-1.0,0.1009000018239021,resnet34,cifar,resnet34cifar,2,YES,NO,1.0,0.9684864851094184,1.0,1.0,1.0,0.0466712559195037,0.0261701869876014,0.0466712559195037,0.0261701869876014,1.0,0.0989494694350393,0.8451400866238096,0.9970326409495548,0.1428571428571428
4378,4378,mul8_124,0.5672000050544739,0.1002999991178512,vgg16,cifar,vgg16cifar,2,NO,NO,0.8246819627713747,0.3560250091075841,0.5707351620253314,0.5707773512476008,0.3046329365831416,0.0387060113791788,0.0283791305752559,0.0387060113791788,0.0283791305752559,0.5554167687667081,0.1001370451980437,0.996488416559931,0.8167655786350149,0.1517857142857142
4379,4379,mul8_198,-1.0,0.1002999991178512,resnet34,mnist,resnet34mnist,2,NO,NO,0.3852596121090525,1.0,1.0,1.0,1.0,0.0728941382232364,0.0362983162511874,0.0728941382232364,0.0362983162511874,1.0,0.1230652442629118,1.0,1.0,0.4464285714285714
4380,4380,ReFAM_new1_sta3_j2_k4,-1.0,0.4860000014305115,vgg16,mnist,vgg16mnist,2,NO,YES,0.3267096807721615,0.0173774536341171,0.175426459665843,0.175383877159309,0.0222029049796277,1.0,1.0,1.0,1.0,0.162077528372501,1.0,0.9843399058011888,0.0919881305637982,1.0
4381,4381,ReFAM_new1_sta2_j7_k1,0.1134999990463256,0.0979999974370002,vgg16,mnist,vgg16mnist,2,NO,YES,0.3917049753554829,0.2858348406491223,0.3733667724335324,0.373320537428023,0.2580056253217928,1.0,1.0,1.0,1.0,0.4333806030482243,1.0,0.4792440881388098,0.28486646884273,1.0
4382,4382,ReFAM_sta2_j1_k8_const1,-1.0,0.0988999977707862,resnet18,cifar,resnet18cifar,2,NO,YES,0.4038374303443695,0.9791823236440528,0.8415388800015965,0.8414107485604607,0.4734934563842817,1.0,1.0,1.0,1.0,0.766903376887966,1.0,1.0,0.7054896142433235,1.0
4383,4383,ReFAM_new1_sta2_j2_k7,0.1134999990463256,0.0979999974370002,vgg16,mnist,vgg16mnist,2,NO,YES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875246645720024,0.7566765578635015,1.0
4384,4384,mul8_342,-1.0,0.817799985408783,resnet18,cifar,resnet18cifar,2,NO,NO,0.0297302689728527,0.0008993374901281,0.0169817816423667,0.0170345489443378,0.0011366067183321,0.0015420973608182,0.0003213328112406,0.0015420973608182,0.0003213328112406,0.0255362166319169,0.0101746355911455,0.4459354618002032,0.029673590504451,0.1428571428571428
4385,4385,mul8_136,0.6420000195503235,0.1306000053882599,vgg16,cifar,vgg16cifar,2,NO,NO,0.2741718176506436,0.2557517218811301,0.2908207745327328,0.2907869481765835,0.2586238473407822,0.0134416324731194,0.0138998389824109,0.0134416324731194,0.0138998389824109,0.3982235300652194,0.0673357696924096,0.3143646060082795,0.4747774480712166,0.5626374285714285
4386,4386,mul8_359,-1.0,0.1134999990463256,resnet34,mnist,resnet34mnist,2,NO,NO,0.3915086375696056,0.1830231101317097,0.361614605184937,0.3615642994241843,0.1333008278111751,0.0267513690969831,0.0167654955285573,0.0267513690969831,0.0167654955285573,0.358681602786006,0.076214596657172,0.9904294333613664,0.5682492581602374,0.2857142857142857
4387,4387,ReFAM_new2_sta1_j2_k3,0.7592999935150146,0.7069000005722046,vgg16,cifar,vgg16cifar,1,NO,NO,0.0415969885333256,0.0042035003693985,0.0407036660497334,0.0407869481765835,0.0040949379171917,0.0045052369879324,0.0041299167870933,0.0045052369879324,0.0041299167870933,0.0517867615756475,0.0363923672691878,0.5011189417804105,0.0445103857566765,0.2857142857142857
