mul_name,single-sided,zero-error,mue_ED0,var_ED0,mue_ED,NMED,var_ED,mue_RED,var_RED,mue_ARED,var_ARED,RMS_ED,RMS_RED,ER,WCE,WCRE,untrained
mul8_247,NO,NO,1.0,0.7137248563229005,0.7466051519551974,0.7465760382707954,0.7057226155256253,1.0,1.0,1.0,1.0,0.800599816607577,1.0,1.0,1.0,1.0,0.1000000014901161
mul8_064,NO,NO,1.0,0.6137080285436805,0.7775080988682705,0.7774217083329487,0.678323537156708,0.05313686272171602,0.03805072141849999,0.05313686272171602,0.03805072141849999,0.8123617527352512,0.11832688414754304,0.9990878583735406,1.0,0.125,0.1000000014901161
ReFAM_new2_sta3_j5_k4,NO,NO,1.0,0.9918079489444004,0.7062452832509497,0.706310433039961,1.0,0.10847259186184541,0.22875384326333664,0.10847259186184541,0.22875384326333664,0.8511569308675186,0.2839328687530977,0.7543503921231371,0.6449515636174501,0.25,0.100500002503395
mul8_141,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7218999862670898
ReFAM_new2_sta1_j3_k5,NO,NO,0.283467266277266,0.22386253191046754,0.2615503409299578,0.2615417293892742,0.20798698928076845,0.01965248153909808,0.028782991485558462,0.01965248153909808,0.028782991485558462,0.3574007226159047,0.0969370846097347,0.5723283909453064,0.32767700409596257,0.25,0.7035999894142151
ReFAM_new_sta3_j2_k1,YES,NO,0.00074991340284991,4.801882692106413e-06,0.00035506579457655907,0.0003694092223012348,6.167118526347397e-06,4.8783396300050404e-05,7.023668005260727e-06,4.8783396300050404e-05,7.023668005260727e-06,0.0016043243478316416,0.0015249637233299296,0.0318236304866103,0.0026006111436187506,0.0555555,0.7214000225067139
ReFAM_new2_sta2_j1_k1,YES,NO,0.01199861444559856,4.956782133787265e-05,0.005681052713224945,0.0057258429456691394,6.366057833648926e-05,0.0011988067942623499,0.0007743593975799951,0.0011988067942623499,0.0007743593975799951,0.0068065696471607895,0.01571242602843613,0.5091780877857648,0.003900916715428126,0.25,0.7085999846458435
ReFAM_new1_sta4_j4_k3,NO,YES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1000000014901161
mul8_166,NO,NO,0.22117758725269893,1.0,1.0,1.0,1.0,0.08231475408651283,0.045917229584392004,0.08231475408651283,0.045917229584392004,1.0,0.13854851519440115,1.0,1.0,0.375,0.1000000014901161
mul8_021,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722000002861023
ReFAM_sta2_j4_k1_const0,YES,NO,0.11098718362178668,0.0016630004058856274,0.05254973759733074,0.05264081417792596,0.0021358124031892146,0.007073592463507309,0.0028322941231213885,0.007073592463507309,0.0028322941231213885,0.0512379958414562,0.030544060479031188,0.8393485086733905,0.031207333723425008,0.125,0.3944999873638153
ReFAM_sta4_j4_k4_const0,YES,NO,1.0,0.07781156593619248,0.4914110596939577,0.49149897027179296,0.09993437587262084,0.05404748611931696,0.04449844864732934,0.05404748611931696,0.04449844864732934,0.44098774388071094,0.12693923433833146,0.9965399312222607,0.3328782263832001,0.125,0.1000000014901161
mul8_320,YES,NO,0.00149982680569982,9.293966500851122e-06,0.0007101315891531181,0.0007388184446024696,1.1936358438091737e-05,9.485660391676469e-05,1.0535502007891091e-05,9.485660391676469e-05,1.0535502007891091e-05,0.0022688565490535965,0.0018414515445202822,0.0636472609732206,0.0026006111436187506,0.0555555,0.7210999727249146
